Date,active_calories,sedentary_time,steps,activity_score,readiness_score,sleep_score,temperature_deviation,average_breath,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,latency,light_sleep_duration,rem_sleep_duration,time_in_bed,total_sleep_duration
6/14/20,717,32100,7486,78,84,,-0.38,,,,,,,,,,,
6/15/20,185,48840,3135,70,74,,0.31,,,,,,,,,,,
6/16/20,747,41640,8073,75,75,,0.01,,,,,,,,,,,
6/17/20,273,39660,3709,74,74,,-0.22,,,,,,,,,,,
6/18/20,407,39600,6959,76,80,,-0.34,,,,,,,,,,,
6/19/20,425,34680,7642,75,88,,-0.62,,,,,,,,,,,
6/20/20,419,27060,6700,79,78,,-0.3,,,,,,,,,,,
6/21/20,432,31920,7133,68,72,,-0.17,,,,,,,,,,,
6/22/20,213,34500,3666,66,80,,0.1,,,,,,,,,,,
6/23/20,679,38220,6123,69,79,,-0.22,,,,,,,,,,,
6/24/20,847,42420,8334,80,68,,0.05,,,,,,,,,,,
6/25/20,260,42360,4189,79,72,,-0.15,,,,,,,,,,,
6/26/20,270,38820,4465,80,87,,-0.21,,,,,,,,,,,
6/27/20,225,45540,4034,73,71,,0.05,,,,,,,,,,,
6/28/20,501,29160,8222,77,88,,0.03,,,,,,,,,,,
6/29/20,259,40140,4383,69,84,,0.11,,,,,,,,,,,
6/30/20,142,18480,2399,66,78,,-0.04,,,,,,,,,,,
7/1/20,236,46620,4152,46,81,,-0.02,,,,,,,,,,,
7/2/20,409,19500,3426,57,87,,0.1,,,,,,,,,,,
7/3/20,386,39480,6774,51,70,,-0.18,,,,,,,,,,,
7/4/20,361,31620,6111,54,87,,0.29,,,,,,,,,,,
7/5/20,280,23400,4059,56,,,,,,,,,,,,,,
7/6/20,767,39360,8327,69,84,,-0.21,,,,,,,,,,,
7/7/20,204,16080,3296,74,73,,0,,,,,,,,,,,
7/8/20,255,41220,3804,66,86,,0.09,,,,,,,,,,,
7/9/20,164,43800,2921,59,88,,0.25,,,,,,,,,,,
7/10/20,398,29220,6331,65,90,,0.05,,,,,,,,,,,
7/11/20,318,48660,4495,58,74,,0.21,,,,,,,,,,,
7/12/20,874,32100,9785,78,83,,-0.28,,,,,,,,,,,
7/13/20,153,47880,2757,64,77,,0.2,,,,,,,,,,,
7/14/20,560,15000,3603,82,82,,0,,,,,,,,,,,
7/15/20,293,43260,5116,75,72,,0.03,,,,,,,,,,,
7/16/20,419,16920,3569,84,85,,0.17,,,,,,,,,,,
7/17/20,254,41280,3957,77,75,,-0.21,,,,,,,,,,,
7/18/20,331,39900,5548,75,77,,0,,,,,,,,,,,
7/19/20,976,30900,10155,81,78,,-0.04,,,,,,,,,,,
7/20/20,205,46740,3404,76,74,,-0.18,,,,,,,,,,,
7/21/20,232,12840,3724,77,80,,-0.32,,,,,,,,,,,
7/22/20,304,41760,5015,68,78,,0.3,,,,,,,,,,,
7/23/20,116,18780,2011,68,78,,0,,,,,,,,,,,
7/24/20,492,34620,8208,60,81,,-0.14,,,,,,,,,,,
7/25/20,850,34200,9896,77,84,,0.02,,,,,,,,,,,
7/26/20,315,41820,5286,65,68,,-0.28,,,,,,,,,,,
7/27/20,298,44460,4981,63,78,,0.09,,,,,,,,,,,
7/28/20,185,13440,3101,70,84,,0.02,,,,,,,,,,,
7/29/20,353,36960,5655,63,80,,0.04,,,,,,,,,,,
7/30/20,383,33720,6648,61,84,,0.12,,,,,,,,,,,
7/31/20,204,40200,3538,59,90,,-0.06,,,,,,,,,,,
8/1/20,254,37380,4397,48,89,,0.08,,,,,,,,,,,
8/2/20,375,33600,6151,49,83,,-0.01,,,,,,,,,,,
8/3/20,762,46740,7585,61,74,,0.11,,,,,,,,,,,
8/4/20,693,42240,4600,76,63,,-0.27,,,,,,,,,,,
8/5/20,200,39660,3329,75,77,,-0.28,,,,,,,,,,,
8/6/20,750,40440,5387,83,74,,-0.06,,,,,,,,,,,
8/7/20,463,41820,6266,87,66,,0.13,,,,,,,,,,,
8/8/20,1059,27900,11895,96,78,,0.02,,,,,,,,,,,
8/9/20,300,35460,5222,92,65,,0.1,,,,,,,,,,,
8/10/20,716,37140,6130,93,83,,0.01,,,,,,,,,,,
8/11/20,254,40740,4397,87,70,,-0.08,,,,,,,,,,,
8/12/20,536,37800,6659,89,84,,-0.33,,,,,,,,,,,
8/13/20,799,34920,8306,90,76,,0.25,,,,,,,,,,,
8/14/20,187,50460,3368,80,81,,-0.35,,,,,,,,,,,
8/15/20,686,31200,10763,86,84,,0.03,,,,,,,,,,,
8/16/20,619,27480,7761,92,68,,0.01,,,,,,,,,,,
8/17/20,277,38880,4727,83,87,,-0.15,,,,,,,,,,,
8/18/20,467,36420,5294,82,88,,0.07,,,,,,,,,,,
8/19/20,396,38040,3834,81,74,,0.08,,,,,,,,,,,
8/20/20,505,35820,6307,78,89,,-0.14,,,,,,,,,,,
8/21/20,861,40560,10129,81,87,,0.05,,,,,,,,,,,
8/22/20,286,37980,4976,79,80,,0.12,,,,,,,,,,,
8/23/20,397,26100,3697,76,86,,0.21,,,,,,,,,,,
8/24/20,452,38400,4614,72,83,,0.26,,,,,,,,,,,
8/25/20,368,46260,3146,73,79,,0,,,,,,,,,,,
8/26/20,227,42060,3969,70,81,,-0.11,,,,,,,,,,,
8/27/20,452,39480,5332,68,88,,0.03,,,,,,,,,,,
8/28/20,468,37380,5973,58,82,,0,,,,,,,,,,,
8/29/20,445,43740,4452,56,77,,0.26,,,,,,,,,,,
8/30/20,305,33480,4744,58,87,,0.25,,,,,,,,,,,
8/31/20,484,36960,5661,63,86,,0.11,,,,,,,,,,,
9/1/20,211,45960,3692,58,83,,0.31,,,,,,,,,,,
9/2/20,749,32580,7097,68,93,,-0.19,,,,,,,,,,,
9/3/20,831,39240,8937,75,75,,-0.01,,,,,,,,,,,
9/4/20,223,39360,3968,74,79,,-0.01,,,,,,,,,,,
9/5/20,608,25020,5598,79,89,,0.01,,,,,,,,,,,
9/6/20,513,33360,6347,75,74,,-0.17,,,,,,,,,,,
9/7/20,502,29160,8110,78,86,,-0.29,,,,,,,,,,,
