Date,activityType,duration,cals_burned,meters
2024-08-06,Walking,3458.78,713.721,6960.29
2024-08-08,Walking,3113.24,324.421,2338.36
2024-08-09,Walking,1026.63,93.141,1464.65
2024-08-09,Walking,573.98,44.7864,636.796
2024-08-10,Walking,1380.00,51.152,463.466
2024-08-10,Walking,182.66,12.6946,187.004
2024-08-11,Walking,2433.11,169.101,2792.46
2024-08-14,Walking,1405.03,187.764,1179.27
2024-08-16,Walking,2186.00,291.558,3635.75
2024-08-17,Walking,600.00,41.7,531.112
2024-08-17,Walking,660.00,45.87,372.359
2024-08-19,Walking,969.40,103.004,1458.45
2024-08-20,Walking,940.40,179.622,1678.94
2024-08-21,Walking,1334.97,181.408,1173.57
2024-08-22,Walking,1163.30,107.117,1702.75
2024-08-23,Walking,1200.00,83.4,111.774
2024-08-23,Walking,1732.83,257.359,2578.6
2024-08-23,Walking,1260.00,87.57,1405.79
2024-08-23,Walking,536.57,67.877,676.086
2024-08-23,Walking,1587.64,200.859,2633.55
2024-08-25,Walking,2209.25,275.906,3672.3
2024-08-26,Walking,1260.00,87.57,1100.21
2024-08-27,Walking,2222.83,289.012,3850.42
2024-08-27,Walking,780.00,54.21,686.876
2024-08-27,Walking,900.00,62.55,247.739
2024-08-28,Walking,600.00,41.7,572.585
2024-08-28,Walking,720.00,50.04,739.857
2024-08-29,Walking,840.00,58.38,910.994
2024-08-29,Walking,960.00,66.72,202.169
2024-08-30,Walking,720.00,50.04,319.546
2024-08-30,Walking,1540.80,186.781,2288.65
2024-09-01,Walking,1140.00,79.23,121.035
2024-09-02,Walking,1080.00,75.06,103.727
2024-09-02,Walking,2158.17,286.6,3214.3
2024-09-05,Walking,2575.16,381.608,4509.75
2024-09-06,Walking,1755.07,227.337,2760.5
2024-09-09,Walking,1838.87,234.222,2892.09
2024-09-12,Walking,1165.84,137.624,1728.23
2024-09-13,Walking,2131.43,262.499,3610.68
2024-09-14,Walking,720.00,50.04,
2024-09-16,Walking,1223.31,235.029,2204.63
2024-09-17,Walking,1072.08,112.863,892.31
2024-09-22,Walking,2380.03,351.33,4374.07
2024-09-25,Walking,2143.28,278.571,2248.14
2024-09-26,Walking,1967.87,176.252,1804.27
2024-09-27,Walking,712.77,81.1393,1153.85
2024-09-28,Walking,1140.00,79.23,677.528
2024-09-28,Walking,900.00,62.55,591.755
2024-10-02,Walking,1360.09,164.086,2248.41
2024-10-04,Walking,1578.35,203.336,2670.77
2024-10-05,Walking,1380.00,95.91,541.449
2024-10-06,Walking,780.00,54.21,46.6916
2024-10-06,Walking,2338.57,255.443,2618.94
2024-10-09,Walking,2071.98,222.583,2828.32
2024-10-09,Walking,983.83,155.558,1712.22
2024-10-11,Walking,720.00,50.04,19.8995
2024-10-11,Walking,421.93,40.537,557.639
2024-10-13,Walking,1320.00,48.928,23.584
2024-10-14,Walking,660.00,24.464,32.5575
2024-10-18,Walking,483.18,74.1234,867.399
2024-10-18,Walking,960.00,66.72,1648.85
2024-10-18,Walking,144.10,23.9164,228.327
2024-10-21,Walking,540.93,55.081,850.59
2024-10-22,Walking,1861.98,130.976,1669.55
2024-10-24,Walking,13287.16,667.999,3883.48
2024-10-23,Walking,1524.91,,
2024-10-24,Walking,666.00,39.2741,250.224
2024-10-27,Walking,3295.85,177.519,1955.33
2024-11-01,Walking,660.00,45.87,
2024-11-02,Walking,600.00,41.7,
2024-11-03,Walking,2557.35,336.444,3823.6
2024-11-03,Walking,532.44,55.0345,825.644
2024-11-06,Walking,661.57,81.7207,1110.47
2024-11-07,Walking,1014.22,115.61,822.147
2024-11-08,Walking,1927.35,257.998,3465.72
2024-11-10,Walking,2241.07,397.894,4459.35
2024-11-15,Walking,68.32,10.9121,121.187
2024-11-15,Walking,203.71,39.9769,342.838
2024-11-16,Walking,1260.00,46.704,
2024-11-24,Walking,1020.00,70.89,
2024-11-27,Walking,4006.95,140.184,581.398
2024-12-15,Walking,960.00,66.72,394.069
2024-12-16,Walking,960.00,66.72,935.408
2024-12-17,Walking,2068.06,308.522,3729.8
2024-12-18,Walking,3954.69,262.459,1751.89
2024-12-20,Walking,1459.15,237.642,2812.54
2024-12-23,Walking,1440.00,100.08,2745.85
2025-01-01,Walking,3071.96,467.747,5558.74
2025-01-09,Walking,6998.97,432.915,3671.38
2025-01-11,Walking,2313.33,244.252,1714.37
2025-01-14,Walking,3481.31,205.696,852.036
2025-01-21,Walking,2547.67,250.282,2566.4
2025-01-26,Walking,780.00,54.21,983.073
2025-01-26,Walking,950.89,128.607,1701.56
2025-01-31,Walking,2453.34,124.035,933.328
2025-02-02,Walking,1620.04,197.511,2613.29
2025-02-10,Walking,660.00,45.87,146.311
2025-02-13,Walking,1315.05,48.2188,328.736
2025-02-16,Walking,4379.36,393.573,4108.27
2025-02-18,Walking,3702.58,327.894,3411.12
2025-02-21,Walking,2417.28,354.998,2930.2
2025-02-24,Walking,900.00,62.55,561.389
2025-02-25,Walking,3089.08,488.586,5563.15
2025-02-28,Walking,602.60,41.8806,856.03
2025-02-28,Walking,1295.04,193.955,2244.16
2025-03-01,Walking,711.46,131.876,1572.05
2025-03-01,Walking,1137.08,212.823,2024.06
2025-03-07,Walking,443.49,55.4698,811.99
2025-03-07,Walking,2410.70,405.869,4617.05
2025-03-07,Walking,1260.00,87.57,667.328
2025-03-11,Walking,516.06,60.1763,854.534
2025-03-12,Walking,1485.01,177.538,2496.74
2025-03-12,Walking,1172.78,144.127,971.272
2025-03-14,Walking,837.59,67.7992,938.317
2025-03-16,Walking,3821.88,595.295,6627.29
2025-03-19,Walking,3780.00,262.71,43.6579
2025-03-21,Walking,745.76,112.426,1390.78
2025-03-21,Walking,1158.83,209.567,2002.98
2025-03-22,Walking,3960.00,275.22,
2025-03-23,Walking,506.09,54.3701,848.743
2025-03-23,Walking,1780.23,174.397,1451.81
2025-03-24,Walking,586.64,82.5486,1093.02
2025-03-25,Walking,2635.75,414.75,4037.85
2025-03-26,Walking,840.00,58.38,
2025-03-26,Walking,606.98,89.8242,1113.42
2025-03-26,Walking,780.00,54.21,
2025-03-27,Walking,720.00,50.04,18.1144
2025-03-28,Walking,660.00,45.87,
2025-03-30,Walking,74.26,7.65671,115.516
2025-03-30,Walking,363.60,74.2862,735.339
2025-03-30,Walking,2496.74,522.955,4876.49
2025-03-30,Walking,1380.00,77.3218,278.198
2025-03-30,Walking,2280.00,244.975,877.024
2025-03-31,Walking,660.00,55.0339,775.361
2025-04-06,Walking,840.00,60.1563,854.578
2025-04-08,Walking,775.36,84.0434,1235.99
2025-04-09,Walking,1593.60,212.242,2907.11
2025-04-10,Walking,2090.73,394.47,4046.84
2025-04-13,Walking,480.60,58.123,801.657
2025-04-14,Walking,2719.73,599.935,6084.31
2025-04-16,Walking,735.29,73.8678,904.585
2025-04-16,Walking,1010.75,181.941,2107.96
2019-09-06,Running,480.00,,1062.17
2019-09-16,Running,842.00,247,2371.95
2020-05-09,Running,872.00,238,2276.06
2021-01-21,Running,888.00,240,2183.36
2021-01-21,Running,1057.17,214.151,2269.94
2021-04-24,Running,93.77,2.2558,22.5192
2021-04-24,Running,817.14,211.209,2262.47
2021-08-01,Running,926.80,204.584,2267.1
2021-09-08,Running,572.79,133.803,1499.83
2021-12-10,Running,857.13,215.237,2273.33
2022-04-01,Running,858.32,215.425,2275.82
2022-05-01,Running,1205.40,254.535,2822.84
2022-05-13,Running,1007.29,27.373,82.2015
2022-06-21,Running,2442.19,512.188,5227.36
2022-08-21,Running,1077.79,241.798,2619.02
2022-08-25,Running,1022.48,223.322,2357
2022-09-13,Running,139.97,30.646,336.802
2022-09-29,Running,1084.14,216.315,2506.23
2022-10-31,Running,1350.32,248.155,2913.82
2022-11-27,Running,857.72,198.054,2265.42
2023-01-15,Running,1461.55,315.61,3524.87
2023-02-13,Running,1124.73,255.352,2905.24
2023-02-27,Running,816.21,191.798,2245.72
2023-04-21,Running,2119.28,454.241,5047.08
2023-05-02,Running,369.36,90.7183,1018.7
2023-06-09,Running,1024.22,232.47,2512.62
2023-06-09,Running,103.81,23.841,288.782
2023-06-21,Running,884.73,199.632,2257.03
2023-07-17,Running,843.43,210.331,2262.34
2023-07-18,Running,577.96,15.6261,76.9554
2023-07-20,Running,1073.13,262.54,2709.89
2023-08-01,Running,1213.77,291.687,3035.94
2023-08-19,Running,671.27,175.714,1832.1
2023-08-27,Running,1029.95,225.808,2650.78
2023-09-06,Running,1239.99,300.546,3093.39
2023-09-17,Running,1460.91,335.524,3523.52
2023-09-19,Running,1418.83,346.85,3477.41
2023-09-22,Running,1327.32,319.535,3302.29
2023-09-30,Running,435.09,104.897,1092.08
2023-10-05,Running,1066.98,252.549,2643.84
2023-10-08,Running,2560.15,520.52,5467.33
2023-10-10,Running,798.57,210.89,2188.77
2023-10-13,Running,2012.73,431.235,4384.11
2023-10-16,Running,1949.01,423.432,4485.87
2023-10-18,Running,1420.91,307.535,3384.15
2023-10-20,Running,2269.06,485.628,5051.58
2023-10-23,Running,1300.57,284.451,3013.99
2023-11-02,Running,2053.95,463.844,4775.38
2023-11-04,Running,1994.66,360.034,3799.25
2023-11-06,Running,2382.79,470.777,4942.54
2023-11-10,Running,1811.22,369.013,4071.27
2023-11-13,Running,2328.48,552.029,5708.77
2023-11-16,Running,1316.94,284.193,3112.37
2023-11-18,Running,1885.24,482.547,5036.46
2023-12-05,Running,922.45,200.499,2115.94
2023-12-07,Running,1492.82,341.109,3673.64
2023-12-14,Running,1897.89,389.083,4223.75
2023-12-17,Running,786.44,204.182,2267.14
2024-01-28,Running,1419.68,326.021,3621.63
2024-02-03,Running,2500.84,558.432,5765.33
2024-02-08,Running,1489.72,322.597,3423.58
2024-02-22,Running,1161.04,264.603,2857.26
2024-03-02,Running,634.87,153.899,1661.9
2024-03-02,Running,554.60,120.797,1232.57
2024-03-10,Running,1694.00,403.726,4034.37
2024-03-15,Running,2095.56,446.98,4848.95
2024-03-19,Running,1933.00,415.357,4372.26
2024-03-27,Running,1652.00,355.609,3803.94
2024-04-06,Running,790.35,210.673,2250.36
2024-04-12,Running,1837.02,422.509,4242.9
2024-04-25,Running,969.31,208.95,2349.1
2024-05-03,Running,1700.31,390.892,4127.71
2024-05-11,Running,2203.65,471.703,5040.41
2024-06-08,Running,280.58,60.0383,633.864
2024-06-29,Running,424.37,104.391,1036.34
2024-07-07,Running,829.84,233.74,2420.48
2024-07-13,Running,680.00,171.403,1639.13
2024-08-10,Running,2100.00,431.34,4440.1
2024-08-10,Running,603.08,123.873,1556.95
2024-08-10,Running,574.27,117.955,1595.41
2024-08-12,Running,1932.08,464.038,4866.73
2024-08-20,Running,1563.78,359.232,3774.01
2024-08-29,Running,1583.95,371.017,4029.67
2024-09-07,Running,2539.30,580.19,5800.29
2024-09-16,Running,1175.74,280.227,2995.86
2024-09-29,Running,798.22,218.328,2269.68
2024-10-04,Running,2353.70,530.519,5428.51
2024-10-18,Running,628.34,161.397,1769.57
2024-10-18,Running,348.57,88.0648,928.197
2024-11-15,Running,368.23,68.3108,798.64
2024-11-15,Running,1545.82,344.92,3508.92
2024-12-29,Running,858.67,212.356,2246.72
2025-03-30,Running,255.62,57.8244,654.346
2025-04-01,Running,786.16,213.708,2232.91
